     channel          r           z      phi      tilt     length   delta_phi        na         pair  
  ISLD67B312        2.3      -0.714    313.2    -292.6       0.68        71.4       nan   ISLD67B197  
  ISLD79A072     1.7732      1.3259    72.22     321.0    0.21341         1.0       nan   ISLD79A222  
  ISLD79A147     1.7733      1.3267   147.22     321.0    0.21326         1.0       nan   ISLD79A072  
  ISLD79A222     1.7733      1.3267   222.11     321.0    0.21298         1.0       nan   ISLD79A272  
  ISLD79A272     1.7742      1.3252   272.87     321.0    0.21339         1.0       nan   ISLD79A147  
  ISLD79B067     2.0532     -1.1223    67.47    -310.1    0.21313         1.0       nan   ISLD79B217  
  ISLD79B142     2.0577     -1.1217   142.36    -310.1     0.2128         1.0       nan   ISLD79B067  
  ISLD79B217     2.0603     -1.1213   217.53    -310.1    0.21311         1.0       nan   ISLD79B277  
  ISLD79B277     2.0567     -1.1216   277.59    -310.1    0.21298         1.0       nan   ISLD79B142  
   ISLD5A199   0.958708    0.757872    198.8    449.82   0.132292       21.95    2426.2    ISLF5A139  
   ISLD4A199   0.958755    0.485693   198.83    450.16   0.132655       21.97    2426.2    ISLF4A139  
   ISLD3A199   0.958868    0.347416   198.81     449.9   0.132608       21.97    2426.2    ISLF3A139  
   ISLD2A199   0.959007    0.208698   198.74     449.9   0.132522       21.95    2426.2    ISLF2A139  
   ISLD2B199   0.959307    -0.20784    198.8    449.95   0.132362       21.96    2426.2    ISLF2B139  
   ISLD3B199   0.959407   -0.345495   198.81    449.85   0.132405       21.95    2426.2    ISLF3B139  
   ISLD4B199   0.959298    -0.48344   198.74    449.96   0.132681       21.95    2426.2    ISLF4B139  
   ISLD5B199   0.959282   -0.762341   198.68    450.07    0.13267       21.94    2426.2    ISLF5B139  
   ISLF5A139   0.959092    0.758541   138.74    269.85   0.132711       21.95    2426.2         None  
   ISLF4A139   0.959369    0.486181   138.82    269.97   0.132747       21.93    2426.2         None  
   ISLF3A139   0.959606    0.347875   138.84    270.01   0.132568       21.93    2426.2         None  
   ISLF2A139   0.959915    0.209396   138.73    269.69   0.132801       21.93    2426.2         None  
   ISLF2B139   0.959572   -0.207899   138.69    269.86   0.132583       21.94    2426.2         None  
   ISLF3B139   0.959442   -0.344997   138.68    269.91   0.132693       21.93    2426.2         None  
   ISLF4B139   0.959717   -0.483066   138.69    269.89   0.132626       21.93    2426.2         None  
   ISLF5B139   0.960028   -0.761531   131.13    269.96   0.132623       21.95    2426.2         None  
   ISLD1A011   0.961058    0.070322    11.33    449.94   0.132731       21.91    2426.2    ISLD1A199  
   ISLD1A049   0.960493        0.07     48.6    450.28   0.132616       21.91    2426.2    ISLD1A244  
   ISLD1A109   0.958611    0.070398   108.73    450.17   0.132696       21.96    2426.2    ISLD1A011  
   ISLD1A139   0.960639    0.070083   138.74    449.88   0.132682       21.92    2426.2    ISLD1A341  
   ISLD1A199   0.959803    0.069754   198.76    449.96    0.13268       21.94    2426.2    ISLD1A139  
   ISLD1A244   0.960876    0.069683   243.61    449.35   0.132676       21.92    2426.2    ISLD1A274  
   ISLD1A274   0.960459    0.070291    273.8    449.99   0.132424        21.9    2426.2    ISLD1A109  
   ISLD1A341   0.959612    0.070271    341.3    449.49   0.132623       21.94    2426.2    ISLD1A049  
   ISLD1B011   0.960917   -0.069408    11.35    450.46   0.132697       21.91    2426.2    ISLD1B199  
   ISLD1B049   0.959724     -0.0695    48.59    449.81    0.13268       21.93    2426.2    ISLD1B244  
   ISLD1B109   0.958401   -0.069618   108.71    449.81   0.132803       21.98    2426.2    ISLD1B011  
   ISLD1B139   0.959866   -0.070848    138.7    449.95   0.132493       21.94    2426.2    ISLD1B341  
   ISLD1B199   0.959488   -0.071037   198.75    449.89   0.132566       21.94    2426.2    ISLD1B139  
   ISLD1B244   0.960942   -0.069382   243.62    450.64   0.132521       21.92    2426.2    ISLD1B274  
   ISLD1B274   0.960135    -0.07049   273.72    450.18   0.132644       21.93    2426.2    ISLD1B109  
   ISLD1B341   0.960158   -0.069164   341.29    450.28    0.13241       21.93    2426.2    ISLD1B049  
  ESLD66M019      2.477         0.0     19.0     270.0      1.194        60.0   30959.8   ESLD66M079  
  ESLD66M079      2.477         0.0     79.0     270.0      1.194        60.0   30959.8   ESLD66M259  
  ESLD66M139      2.477         0.0    139.0     270.0      1.194        60.0   30959.8   ESLD66M319  
  ESLD66M199      2.477         0.0    199.0     270.0      1.194        60.0   30959.8   ESLD66M019  
  ESLD66M259      2.477         0.0    259.0     270.0      1.194        60.0   30959.8   ESLD66M139  
  ESLD66M319      2.477         0.0    319.0     270.0      1.194        60.0   30959.8   ESLD66M199  
         C19        3.2         0.0     19.0      90.0        1.6        58.0       nan         None  
         C79        3.2         0.0     79.0      90.0        1.6        58.0       nan         None  
        C139        3.2         0.0    139.0      90.0        1.6        58.0       nan         None  
        C199        3.2         0.0    199.0      90.0        1.6        58.0       nan         None  
